date,airport_code,airport_name,latitude,longitude,wind_speed
2013-01-15,PIT,Pittsburgh International Airport,40.49150085,-80.23290253,2.7
2013-02-23,BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,1.8
2013-02-11,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,4.2
2013-01-10,ORD,Chicago O'Hare International Airport,41.9786,-87.9048,4.1
2013-01-15,BOS,Logan International Airport,42.3643,-71.005203,2.9
2013-10-09,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,2.2
2013-03-21,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,3.3
2013-03-29,PVD,Theodore Francis Green State Airport,41.732601,-71.420403,3.0
2013-02-15,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,2.3
2013-10-16,DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,5.4
2013-02-05,PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203,1.9
2013-03-30,MCI,Kansas City International Airport,39.2976,-94.713898,3.4
2013-11-27,MEM,Memphis International Airport,35.04240036010742,-89.97669982910156,4.8
2013-10-30,IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,4.5
2013-01-11,SJC,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,2.1
2013-11-24,PIT,Pittsburgh International Airport,40.49150085,-80.23290253,5.5
2013-12-24,AVL,Asheville Regional Airport,35.436199,-82.541801,6.2
2013-04-19,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,6.0
2013-02-15,JFK,John F Kennedy International Airport,40.639801,-73.7789,3.7
2013-03-17,EWR,Newark Liberty International Airport,40.692501,-74.168701,5.4
2013-08-06,EWR,Newark Liberty International Airport,40.692501,-74.168701,3.0
2013-09-03,LGA,La Guardia Airport,40.777199,-73.872597,3.9
2013-10-26,GRR,Gerald R. Ford International Airport,42.88079834,-85.52279663,6.9
2013-05-18,BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,3.8
2013-03-13,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,4.7
2013-01-01,LAX,Los Angeles International Airport,33.942501,-118.407997,1.9
2013-10-12,FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,3.0
2013-01-29,GSO,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,4.0
2013-03-01,OKC,Will Rogers World Airport,35.39310073852539,-97.60070037841797,5.4
2013-12-21,SEA,Seattle Tacoma International Airport,47.449001,-122.308998,2.4
2013-02-02,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,3.1
2013-01-09,SAV,Savannah Hilton Head International Airport,32.12760162,-81.20210266,2.3
2013-03-23,IND,Indianapolis International Airport,39.7173,-86.294403,2.9
2013-10-11,SDF,Louisville Muhammad Ali International Airport,38.1744,-85.736,0.9
2013-01-13,EWR,Newark Liberty International Airport,40.692501,-74.168701,1.5
2013-08-31,LGA,La Guardia Airport,40.777199,-73.872597,4.7
2013-09-21,JFK,John F Kennedy International Airport,40.639801,-73.7789,5.1
2013-01-12,CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,2.1
2013-05-06,SFO,San Francisco International Airport,37.61899948120117,-122.375,3.6
2013-08-26,ORF,Norfolk International Airport,36.89459991455078,-76.20120239257812,1.7
2013-12-27,GRR,Gerald R. Ford International Airport,42.88079834,-85.52279663,3.3
2013-11-09,CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,4.6
2013-01-12,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,4.5
2013-01-22,SRQ,Sarasota Bradenton International Airport,27.39539909362793,-82.55439758300781,3.3
2013-04-15,BOS,Logan International Airport,42.3643,-71.005203,4.7
2013-10-16,OAK,Metropolitan Oakland International Airport,37.721298,-122.221001,1.8
2013-11-19,MCO,Orlando International Airport,28.429399490356445,-81.30899810791016,3.2
2013-10-31,TYS,McGhee Tyson Airport,35.81100082,-83.9940033,5.1
2013-11-12,PBI,Palm Beach International Airport,26.68320083618164,-80.09559631347656,3.2
2013-12-23,OMA,Eppley Airfield,41.3032,-95.894096,4.8
2013-04-13,PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905,3.5
2013-10-10,DSM,Des Moines International Airport,41.534,-93.663101,4.3
2013-01-06,BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,1.9
